stock,volume
CYN,2727
CYS,44696
TOSYY,30
OAKS,1365
CYT,1825
GBCI,11096
BLGX,100
VNOD,2782
KNOP,35
MLER,800
CZA,2347
NOHO,1847999
LKQ,30939
DAKT,1917
CZR,13204
GBDC,8909
WIBC,14424
RBCN,4486
DAKP,100
CZZ,69963
TY.PR,95
XTXI,3047
LEN.B,450
EMBB,802
SEIC,21779
THLD,7941
MLHR,5243
LLL,237970
DROP,162000
LYG.PR.A,894
PURA,1
AQUM,3870300
LLY,157952
EMBR,3000
GBGD,1000
COKE,872
SSUMY,600
PMBC,1
BKJAY,25
PURE,605
PNPFF,22300
EUSA,376
LIFE,50152
ORMP,260101
HCN.PR.J,901
GBEN,50000
HCN.PR.I,1
DANG,100939
TYY.PR.C,301
ALBMP,42
DEMBF,308
BLIN,5280
HTHIY,40
LMT,107393
COLM,4070
VNQI,7079
COLE,138851
MZDAF,200
COLB,560
MLHC,600
LNC,64656
PMCM,3236666
LNG,102886
BCYP,25000
FLMTF,85000
PMCS,19139
GS.PR.J,1690
LNN,1146
VNO.PR.L,1776
VNO.PR.K,1597
CMAKY,103
VNTV,36181
VNO.PR.J,3250
MS.PR.A,1202
LNT,9827
RAFLF,6100
VNO.PR.I,492
COMM,3668
VNO.PR.G,1332
HELE,1402
SVMI,45000
BLUSF,333
TYPE,1829
JFTTL,20
TLSNY,133
EMCB,3600
YOKU,39270
EMCD,201
GSIG,128
PMBS,108000
EMCG,630
MS.PR.F,5100
LOR,1018
EMCI,33
TI.A,658
DSEEY,1501
GS.PR.D,1705
GS.PR.B,1575
LOV,219
GS.PR.C,200
CONN,14909
LOW,468668
GS.PR.I,222
GSIT,27317
ATRNQ,50092
CONE,1344
SVLC,36745
GS.PR.A,2100
WIFI,1488
BLKB,1042
UAM,959
DDAIF,2674
UAL,112143
HEMP,7135929
GZPFY,373
UAN,5132
HBCYF,1398
LPI,9068
RBIZ,5000
LPL,12735
SEMG,54540
RYDBF,863
GBRRF,2400
LPS,17980
EMFM,326
EMFN,405
HENC,1000
LPX,39787
UBA,6445
COOL,9339
EMFT,422
UBC,180
PMFG,7
LQD,60088
PWAZQ,500
WIIM,2200
BLLB,500000
UBP,4
UBR,826
UBT,12000
AHONY,1775
YONG,25423
UBS,139069
CBS.A,358
LGSXY,100
UCBA,1200
SELF,1238
COPX,16245
LNGLF,900
BLMT,208
DAL,754419
RYDAF,831
DDAIY,402
THOR,7948
DAN,32929
OGZPY,7261
JSAIY,550
UCBI,11160
DARA,11590
BLMN,10480
UCC,6
DRRX,4937
DAR,12402
KFFB,867
EMES,5443
FRFHF,214
EMEY,1
LRE,502
UCO,254632
CORE,1161
THRD,300
DBA,117203
UCP,28
DBC,61313
JMHLY,1350
DBB,42642
DBE,114813
DBD,26400
THRM,11258
IQDF,300
LRN,9290
THRK,656
MLNX,39646
DBL,175
DBO,4880
LRY,59878
BKRKY,1543
DBP,12100
DBS,1500
DBU,777
XLNX,209892
HEPI,7500
TYTN,4333
DBV,1145
THRX,33039
LSC,12926
UDN,1206
AIMC,1274
LSG,8400
UDR,42842
UTEK,8826
LSI,1233002
STPFQ,46354
DCA,18267
CESDF,100
DCE,8098
DCI,9070
CXDC,6598
BLOX,41667
ORSX,58
DCM,8997
DCO,688
DATE,2441
CORT,12911
DRTX,2359
UEC,9853
IACAF,19220
CORR,280
DCT,108976
CORP,640
DATA,90770
HVPW,360
CORN,4502
MLNK,3984
EDVP,11
GBLI,7
LTC,1141
SOIGF,550
HEOP,207
COGLF,3800
DRWI,3500
PPERY,3712
DDC,10903
COTE,7770
MLPX,160
DDE,394
LTM,13057
GSPI,514000
DDD,233143
EMJI,82000
LTS,11359
CXEE,200
DDM,40650
MLPY,250
HERB,200
THTI,850
UTHR,8590
EGDFF,7300
DDP,230
LINC,1339
GSPT,375
DDS,241230
COST,52396
DDR,97806
LINE,101932
LUB,155
YOSN,700
UFI,4144
COSM,520
PWAVQ,46
HERO,185683
ZRVT,200
EDWY,5
WILC,2001
MLOV,1
NORW,408
WILD,900
LUK,46066
UFS,16755
SNAK,16
DEF,7379
EMIF,1255
DEG,4005
MUAE,808
DEJ,10000
GSOL,1293
MUAF,215
DEI,28558
AZPN,7716
MTSXY,1000
EDXC,258947
DEL,25
LUV,200735
JCTCF,200
UCFC,17
DEM,78864
UGA,1382
MUAC,2
LUX,471
AINV,24849
COTY,5400
DEO,41582
MUAD,4
MLPG,54
YORW,104
EMIS,600
DES,3595
DAVE,100
MLPA,700
UGI,5325
DEX,1022
DEW,436
RSOL,105655
GBNK,306
MLPN,729
BTLCY,100
SNBC,710
UGL,14574
MLPI,2276
WILN,4400
MLPL,3305
UGP,13000
DFE,47531
LVL,1651
SNDK,159578
LIOX,3197
NGEN,200
THVB,300
DRYS,4168255
LVS,289662
DFJ,2888
MDBX,15593
NOVB,300
LRAD,2574
XTMCF,1800
EMLP,18245
BLRX,4480
DFP,566
DFS,145628
MDCA,27526
CGEN,14416
DFT,18528
DFZ,213
XLRN,5690
MDCI,2710
LWC,23
UHN,549
BDBD,4551
MDCE,1
ORYN,3000
SGLRF,8575
AA,983339
UHT,3141
AB,17824
UHS,18834
PKREY,394
COWI,670000
AE,502
AF,65696
AG,173842
SOCGP,100
AH,51377
DGI,21100
SHGDF,4999
DGL,721
AI,3633
BLTA,171294
MDAV,10990
UTIW,7214
AL,12597
LEGPF,8565
DGP,10243
SNCR,48803
MDAS,4104
AN,45892
BDCS,4406
WINA,102
AP,963
EMKR,3098
DGT,530
AGESY,102
DGS,27172
AR,24152
BDCO,74
AT,45594
FCUUF,500
BDCL,4878
AU,142052
DGX,100326
AV,4770
DGZ,8053
COVS,4407
CBB.PR.B,605
ARAY,13105
COVR,1300
UIL,19284
BDCG,5
ARESF,1
UIS,12141
LXK,16809
BA,172266
EMLC,23882
LION,531
ARCP,165324
STRZA,24782
BC,13063
AIRI,1700
DHG,462
DHF,21304
HCIIP,300
ARCO,23210
LIQT,3252
DHI,522193
BLUF,2
BG,5946
BLUE,1922
LXP,79275
BH,42
RSSS,125
GM.WS.A,7546
LXU,2483
GM.WS.B,7530
BK,288222
ARCI,301
INCAF,10000
BP,291024
DHS,6056
DHR,138022
ARCC,84748
BR,13131
RSTI,753
DHT,18461
UTMD,10
BT,2937
LYB,107184
DHY,65620
BV,449
DHX,3465
PMNA,200
BX,428663
LRCX,84988
PL.PR.C,4840
EXPGY,1100
LYG,143461
SEVA,966
ARBV,502
PL.PR.E,200
COWN,463
LABL,113
DIA,1506007
CA,39610
CB,35602
CE,11750
NXHD,6000
DIG,4084
CF,20567
CG,1585
EADSY,9554
CH,4426
CI,30882
ARNGF,200
MDCO,4323
LYV,26155
DIN,442
LUNMF,13
DIM,113
CL,130419
EXPGF,360
DDR.PR.K,67
CM,11008
CO,101
SNET,10000
CP,36823
DIT,4
ARDC,12103
EMMS,1450
DIS,487304
CR,2243
CWYUF,120
DIV,1222
CS,56407
UKF,10
CU,5300
MDDD,25070
CW,8342
CX,993586
LZB,5963
BLUU,2500
CY,66582
SVVC,2483
ARCW,5833
VWOB,1372
AIRM,7150
DB,85932
WISHY,1900
UKW,50
DD,284738
DE,448655
DF,17845
LACO,622
SVXY,34490
DG,1342472
DK,38222
FNMAT,500
SNHN,4394
DL,1834
LITB,26398
DM,18900
SNHY,312
DJP,18278
DO,329582
CGIX,763
DQ,3425
HVYW,1000
FHCO,2139
FNMAJ,500
DV,1608
DW,2921
DX,15040
FNMAG,100
DY,564
TQLA,21
BDORY,5826
WREI,542
EA,151807
NVEEW,1103
EDVMF,3700
EC,14796
GRBMF,29
ED,143855
BRGYY,13194
EE,419
LHHMQ,8251
WABC,1596
DKL,100
EJ,169785
TCBIP,1114
MDFZF,800
LRDC,5000
HEWA,49403
EL,17242
ZAZA,19731
TCBIL,35
PRIS.B,3800
UMC,50418
DKT,196
DKS,27025
WIRE,1590
CRARY,10028
EU,322
AADR,2056
EV,7697
FPRX,4306
UMH,6427
EW,18926
EVAC,261
GAINP,1
DLA,604
GSVC,31907
HWTFF,1800
AREX,8138
DLB,6471
FB,2852550
AGO.PR.F,10
EVAL,100
FC,110
AGO.PR.E,630
BDGE,544
FE,193655
FF,2887
ARGT,310
UMX,68
VOCS,923
FI,2932
GSXN,5000
FL,73016
DLN,1788
FM,31952
KODK,2615
FN,725
ERFBD,890
DLS,6007
DLR,100633
FR,16434
IQNT,15491
UNF,1915
UNH,209891
FT,500
UNG,379192
LIVE,7264
DLX,11023
UNL,1141
PVCT,161743
ADDYY,963
UNM,54287
RSXJ,66
BRPIF,500
UNP,194238
NGLE,1
DMB,5221
UCPA,750
GA,11510
UNT,3563
DMD,277
UNS,27888
GB,44
DMF,13113
GD,90471
GE,2451677
GF,5743
GG,571549
SJMHF,2000
WRES,24618
EVBS,30
GK,41
GM,688225
DMO,1550
WITE,200
GS,173693
GT,65581
AKZOY,115
KFRC,2016
EVCA,352000
GY,97426
TOELY,2600
XUII,13333
JCOM,751
HA,22157
DNB,6874
GUKYF,1669
ARNBF,100
HD,277897
MDHI,105000
HE,7424
DNI,202
HF,1507
OSBC,3530
HH,7900
WAGE,4178
HI,1892
PVEC,10083433
FCE.A,11442
MH.PR.A,151
DNL,10
HK,16575
DNO,300
HL,602073
DNN,42069
ARIS,450
DNP,20214
HP,19052
DNR,192631
KGTFY,914
AIXG,12813
HR,15763
HT,6563
MSBHY,32
HW,4972
ARII,2196
UPL,103070
HY,3841
UTSI,233
DSCI,488
ARIA,2026655
DOD,6242
ZARFF,10
UPS,70548
DOC,18
EVFN,3
UPV,70
DSCO,2252
RBYC,5000
OBAF,100
UPW,1
DOG,14727
IF,844
IG,5070
DOL,1570
MDIV,2940
WAFD,10714
DON,8421
DOM,150
IL,15101
TQNT,101512
IM,11032
NGLS,5428
LIWA,2000
DOO,3701
IO,59942
IP,119292
PEBO,5485
WRGL,10152
IR,91456
DOV,25612
MGPHF,12550
IT,4731
FINMY,578
MAA,16337
DOX,9811
DOW,300351
MAC,14505
MAB,184
IX,286
UQM,5250
CGNX,27494
MAG,13
DPD,177
DPG,683
AVIFY,116
JE,3787
MAN,35247
SNLN,474
EVEP,1621
RSYS,22
MAS,137709
EVER,7589
WAFR,71000
MAR,53864
DPM,666
MAT,33072
MDLZ,278589
DPO,564
MAV,1000
URA,6221
JO,6319
DPS,59769
MUNI,2748
NGPC,167
URE,20101
DPW,300
URG,108279
KPELY,190
MBB,4642
EVHC,6395
URI,56493
CELGZ,575
EEFT,6112
MKTAY,100
CZICF,4800
DPZ,7809
CPAC,500
DBBR,703
URR,1
RSO.PR.B,1300
WIZD,150
MBI,19496
RDS.B,40779
KB,2608
URS,10461
RDS.A,144314
AAIR,1000
KF,2825
WAIR,2404
URZ,14699
MDMN,29000
OBCI,1460
MBT,46013
SNMX,135
USA,57251
KO,699663
USB,893061
TSRER,4000
USD,705
KR,136191
NXPI,139943
KS,13171
USG,135698
KT,2604
MCA,607
ARLP,827
MCC,6543
KW,610
USM,3375
WRIT,1850000
USL,425
MCD,182525
USO,380874
MCF,8254
MCI,100
DRC,10015
MCK,55134
LB,32113
DRE,93063
USU,10869
UST,1364
BDMS,1
DRD,10201
MCO,101318
EVGN,701
MCN,2100
TQQQ,119069
LF,45068
DRI,26156
DRH,18906
MCP,2538720
LG,2122
LH,18621
MCS,17
MCR,6218
DRL,607
LL,11561
DBEF,3916
LM,63575
DRN,15775
DRQ,1759
MCY,5091
UURAF,20800
LO,34586
DRR,300
MCZ,25807
UTF,20381
DRW,512
EMXX,49307
UTG,4225
DRV,7670
KIM.PR.H,8
UTI,207
GKNT,2300
VOIS,116457
MDD,10
UTL,414
KIM.PR.K,447
HWCC,962
MDC,57610
KIM.PR.I,1
NGRC,4900
KIM.PR.J,300
UBS.PR.D,89
NXST,4190
ARMK,14722
PMXO,1000
ARMH,95930
MA,83506
ARMF,3265
MDM,220
MD,13700
UTX,213439
MDP,2237
FHLC,21437
MDR,223229
MG,227
HNRG,852
NXTH,100000
DSI,1996
MDT,73093
DSL,6483
HFBC,200
NXTD,103
MDU,20520
DSM,30378
MM,68783
HLTOY,8305
MDW,3682
MN,12
MO,235357
MDY,259069
DST,11170
HWAY,19403
MR,54048
DSS,10350
MS,590334
MT,424207
DSU,36550
NPBC,36255
RTPRQ,1000
MU,1933605
MEA,56315
DSX,51511
AAMC,384
DSW,24723
SCHYY,173
UCTT,3597
PEGA,1269
FYLD,12171
MW,1388
MX,12347
TIBX,42533
MY,69699
LAKE,200
MED,1968
MEG,30128
MEI,18470
UUP,27028
DBEU,400
PEGI,5342
TICC,5517
DTE,57582
SCHYF,300
DTD,3296
NC,107
MEN,3961
DTF,6077
NE,90434
SNPS,23710
MDNT,333300
NG,243365
DTH,660
HWBK,10
ARNA,123157
NI,32796
WRLD,313
NJ,703
MET,212306
DTO,39618
NL,2562
DTN,5962
NM,111739
HNSN,3280
PEIX,6634
GTAT,211718
NP,3499
NQ,354561
NR,10668
NS,5604
DTT,1126
UVE,75458
DTV,177987
UVG,1
NU,56100
AROW,261
LAND,400
MFA,66989
LANC,952
NX,2367
NY,1
MFC,51024
DTZ,290
AZURF,5275
MFG,45063
MFI,400
DUA,1
BURL,1169
MUSA,8424
UVT,214
MFL,8387
DUC,200
OB,1708
OC,29182
UVV,3955
MFM,15457
DUG,1854
VOLC,8974
MFT,190
OI,42364
CGRIF,26
DUK,128836
MFV,2791
GRX.PR.A,566
SNSS,368
DSGX,268
AAON,693
AAOI,5
MMAB,1335
MGA,18528
NXTM,7353
MGC,5527
UWM,41374
BKKLY,220
GTAA,1619
UWN,2201
MGF,100
DVA,354551
MGI,212
CPFI,2200
ULGX,1000
MGK,23972
PEII,1473316
MGM,309245
PB,4309
ARPI,31466
MGN,2000
DNPUF,500
PF,9791
DBGR,1520
PG,353415
PH,31752
MGR,622
LAMR,7524
SNRV,15000
OSHC,550
DVM,1
MGU,434
BUSE,426
MGT,15603
PL,9953
MGV,868
DVN,75738
PM,158169
WLCDF,100
KOLD,1038
CRRFY,5270
PQ,11151
DVR,18572
AAPL,759322
NGVC,904
PT,27313
AWLCF,3690
UXJ,246
DVY,94499
RCAP,301
AAPH,29000
UXI,1554
BDSI,7724
MHD,16339
PX,50453
MHF,3571
EELV,1135
MHE,2
MHH,1507
AIBYY,9495
DWA,10499
CPGI,77
MHK,19717
MHN,736
ARQL,7677
SFEG,18000
EEMA,1525
SWFT,114762
MHO,10832
MHR,93443
MDSO,10154
EEME,111
VONE,290
VONG,133
CUBE.PR.A,1384
DWM,3306
DSKX,3000
AEXPD,131
PEYUF,200
MHY,19052
UYG,3999
DWX,20801
MIC,4105
ARRY,55921
UYM,4164
MIE,15319
OSIR,567
VOLT,15974
MIG,985
GCAP,1536
DIISY,113
OSIS,6624
AALCP,2906
ARRS,22604
STBFY,132
SNTA,35961
DXB,100
MIL,4525
DXD,131032
MIN,73775
RE,10720
RF,386886
KONA,150
SWET,1000
TGONF,121900
RH,8111
SNTI,12918
CPHD,2915
DXJ,564232
DXM,568
MDRX,25412
MIW,7002
RL,19874
RM,529
MIY,5735
GCBC,36
UZA,376
KONG,8337
RP,715
HREEF,1300
KOPN,1423
RS,4054
RT,7809
OSLH,300
RTEC,1212
RY,19548
VOOV,1028
MJI,300
SA,10520
SB,40373
PENN,37014
MJN,433824
SD,828921
CWYCF,110
SE,65408
SF,6867
SH,46972
SI,32697
DYN,2328
SM,94701
PENX,9
SN,6332
DBJP,13373
SO,142701
ARSD,82
SP,15
SR,9
ST,8594
SU,98818
KOOL,1250
MKC,16527
EEMS,8873
IIIN,1540
AASL,200
DBLE,2765
VONV,864
EEMV,14136
ARTW,100
OBJE,22861
ARTX,62599
XDSL,2330996
TA,11852
EVOL,6840
TC,50658
MKL,2189
TD,26378
TE,78960
ARTR,50000
TG,648
DZK,4808
UBSFY,1601
TI,5539
NUSMF,400
TK,2270
SWHC,67075
VOOG,3794
DSLV,28563
TM,7185
ITMSF,26500
ARTH,10822
IIJI,200
TR,1510
ARTC,648
TS,6054
TU,2801
DBMM,1140000
TV,19007
TW,29087
KORU,425
TX,15
LATF,5550200
DZZ,55362
TY,1427
KORS,127403
SNYL,554117
TILE,1268
MLG,8
MLI,93
UA,14129
EVRM,1100000
LATM,260
MLN,469
MLM,3045
KORZ,85
HWKN,512
MLP,5212
MLR,231
UG,51
ARUN,57134
GTHP,3050
CBSTZ,325
UL,103890
MLU,3620
KSFTF,215
ENBP,200
EVRY,419
UN,101247
TILT,2221
ICLDW,23814
GCEI,50000
MMC,73060
BMIX,13300
MMD,2073
MMI,32
SWIR,63630
MDVN,2588
VB,47459
MMM,433308
VC,36666
CPLP,1681
VE,10070
MMP,12631
VG,31569
RKUS,24217
MMS,3892
PEOP,25
MMU,20265
MMT,24924
WASH,205
CIOXY,292
VO,23267
IILG,3096
DSNY,40546
PHIIK,5
VR,74127
KLBAY,316
CPLA,352
VT,11812
USCRW,28
VV,12829
EVTC,5388
MDYG,1863
TZOO,414
VZ,383318
MNE,205
PNCH,221439
FLNXF,1000
PERI,23324
MNI,3543
MNK,4532
PERF,333
WD,555
MNP,9115
ALLAY,100
WF,40
AAVG,1000000
MNR,14374
WG,2639
MDYV,743
WH,300
PVTB,6448
ARWR,24852
ROAOF,98
DKAM,40000
PVTD,171
ENDO,88450
ENDP,455642
WM,42322
RTIX,83
PERY,243
WR,65979
EREPF,27100
WU,123677
MOC,2000
WX,21201
WY,107373
MDXG,31597
MOD,4078
DSPG,18900
SWKH,40
MOH,109384
EVSI,3230
SWKS,162386
MOO,11841
MON,482082
WACLY,34
MOS,104217
GTIM,307
DNPLY,337
REN.WS,1497
XL,36138
QQEW,6956
EVSV,3596228
GEF.B,307
MOV,19
GTIP,22
VAC,6766
GTIV,8237
PMGYF,2000
MPA,238
VAL,14384
MMLP,378
MPC,185350
MPE,1200
FHWY,514
VAR,14798
SFLY,6428
SFMI,68666
CSUAY,2209
CPOW,90
PETM,38399
AAXJ,87027
BAESY,4124
VAW,5538
MPO,10408
TRAK,1389
OBQI,36900
PETS,2232
LYSCF,3900
MPV,388
BNCIF,565
MPX,25
MPW,19801
GTLS,13647
ENFR,400
STKAF,400
TIPZ,251
IRBS,10000
IRBT,20826
VBF,2626
PETX,449
VBK,23190
AAWW,968
ULST,3840
YY,94027
CYBK,50000
LYSDY,4300
WAVX,103
EAC,225
WPPGY,2199
DBRM,50000
EAB,100
VBR,27476
TINY,780
ZA,620
KGET,1350000
EAD,47210
HRELF,120
ZF,4251
FANUY,3293
MQT,3788
LAWS,600
ZN,3091
MQY,3331
RCII,7591
VCF,305
EAT,23331
ZU,6102
VCI,46852
ZX,3750
CPPD,500
MRC,7132
MRH,2883
VCO,15
VCR,19541
MRK,450271
DSUM,9143
VCV,22850
EBF,2458
CYCC,8961
COR.PR.A,1
MRO,168691
NYCB,56872
IRDM,19912
SFOR,2070300
VOXX,6107
CYBX,698
ULUR,1840
HZUVF,480
VDC,17576
EBR,113315
TEZNY,457
HRELY,3
VDE,12748
EBS,25874
KMI.WS,210589
MSA,1224
AIBSF,600
IACI,16301
MSB,7164
MSD,976
MSG,16150
KNYJY,2016
MSF,5215
AUNFF,25750
ECA,124701
MSI,11596
ULTA,20847
ENGA,360
MSK,103
DSTI,406
CYNAF,28480
MSJ,404
HUWHY,109
MSM,44490
MSL,11
MSO,5330
ECF,152
MSN,598
LAYN,1119
ECH,6849
MSP,281
ULTI,5951
BNKXF,5974
CPRX,15375
RCKE,133510
PNFP,2120
RCKB,259
MMMW,2000
SFNC,935
ECL,30590
CPRT,27573
ADDDF,118
ULTR,20
VEA,395655
MSZ,894
ECT,3545
WAYN,300
CWGYF,4000
RCKY,112
MTB,36537
MTD,1967
OSTK,11777
VGGL,450
ZBRA,3915
MTH,17325
RBS.PR.L,232
MTG,99622
DSWL,7564
MTL,38916
EDD,12393
VET,442
RBS.PR.P,750
MTK,664
EDC,590762
CPTA,855
MTN,376
EDF,1041
RBS.PR.N,2357
VEU,130769
EDE,7485
RBS.PR.M,6404
TITN,11343
TADF,25000
TNTEY,371
EDI,2714
CHCR,12500
CLPHY,13901
PNC.WS,3092
MTT,300
TRER,1000
RBS.PR.H,2468
MTS,100
RBS.PR.G,1866
EDN,2990
CHCO,484
RBS.PR.F,2
MTU,68282
RSNAY,2000
RBS.PR.E,667
XMPT,1
MTX,251
MTW,36227
CPST,75982
VFC,156916
EDR,11355
DKGR,1000
MTZ,35160
CPSS,13267
EDT,1300
CHCI,3300
EDS,1312
EDV,1524
TREX,1617
EDU,33298
MUA,982
RBS.PR.T,6966
NPTN,3011
VFH,15785
RBS.PR.S,328
EDZ,49855
MUC,4576
RBS.PR.R,5
MUB,14175
FUJHF,25
RBS.PR.Q,1
MUE,3207
CPSI,1169
VFL,1
SWSH,2913
MUI,7405
MUH,292
EEB,3106
MUJ,1307
BMRC,306
TISA,12180
OSUR,6512
CHDX,97
BEAV,10942
EEI,1261
BEAT,9560
VOYA,20529
MUS,4010
SFPI,4000
MUR,19264
EEM,9218448
TISI,1264
JUHL,2927
FUJHY,1880
EEQ,8749
BEAM,15637
ENIP,50606
CHDN,126
EEP,13040
MUX,135782
EES,4524
VGIT,2529
EET,1552
TRDX,14997
EEV,28962
TACT,380
TREE,831
VGI,2835
IRET,8612
VGK,184551
MVC,20
NPSP,43435
MVF,34392
SWRI,2000
VGM,21352
RCMT,2565
MVG,7300
SWRF,20000
VGR,13155
TRGP,15320
EFA,1366886
VGT,29566
EFC,538
EFF,53
MVO,5071
EFG,26294
VGZ,33300
TIVO,82456
FUJIY,116
CHEV,1
EPGRQ,1500
OSGIQ,2264
MVV,13672
TRGT,4179
EFM,110
EFO,2070
VHC,2522
VGLS,19831
EFR,21119
VGLT,800
MMSI,960
EFT,20771
SFST,300
LJPC,340805
RCPT,1314
EFV,32976
AHL.PR.B,351
MTNOY,8925
EFU,200
AHL.PR.A,778
MWA,21494
EFX,6030
VHI,1681
GLBS,400
EFZ,180
BMRN,7990
IAGI,500
BK.PR.C,1457
BEBE,1782
CHEF,318
MWE,15549
BMRK,1800
MWG,6495
KHOLY,522
CPTCQ,4001
SKHSY,242
VHT,19367
VNGRF,16
SOCL,2865
MWO,161
BMTC,1699
GLAXF,30
EGI,141
MWR,289
GLAD,8290
EGL,412
AHL.PR.C,148
MWW,204193
EGO,363002
ASBB,300
EGN,18692
MWV,13531
ASBC,20084
ANIMF,100
MEAS,899
VIA,1375
EGP,2678
CHLKF,55
MMRF,2169
USCXW,28
IIVI,6511
BECN,2924
CHFN,9
VIG,118629
EGY,16198
MXA,2
BMSN,110000
MXC,1082
MXF,484
MXE,410
VIP,28919
CHFC,4582
MXI,954
SODA,17621
SFRX,130500
MXL,2131
VIS,16766
NPWZ,44400
VIV,125694
TRIP,67969
MXN,1
SOFN,13000
EBR.B,14225
SOFO,300
GLDD,1856
MEDL,1263
LSCC,3332
ABAX,3561
EHI,14981
TIXC,120
HENKY,177
GAPWP,1
WSBF,17
LSCG,20
ABAT,7616
SFUN,32581
GLDI,153
LBAS,1500
ASCC,13090
MTLQU,951
OIBR.C,1964
HRTPY,47926
CHGS,1286
PEB.PR.B,203
PWCDF,302
QQQE,566
TAHO,5532
QQQC,612
MYC,2645
WSCE,1491774
CPWR,68639
MYE,528
GLDX,925
DGEAF,473
MYD,1520
CHGG,9909
MYF,6764
WBAI,63828
EIA,2137
MYI,2627
ENOC,21440
KPLUF,160
MYJ,8724
MYM,7323
CEMTY,1
ENMD,7974
MYL,96127
EIG,1820
MYN,6840
SOEN,2500
CHC.WS,11500
EIM,5503
GTSO,50
TAGG,4894000
ABBV,551828
NPSNY,23
EIP,933
EIS,350
TRIB,2002
SWVI,30259
MEDA,500
CPXX,1000
EIV,951
WSFSL,150
LSBK,100
WOSYY,440
HOFT,548
VKI,21394
MZA,13
EIX,73221
WSBC,2347
TRII,50
IRIX,2917
VKQ,10637
LBAI,12
BNEFF,711
NCMGY,1954
ENPH,5947
SOHO,19515
ASEI,169
CHIX,46265
MZZ,5711
FICO,21699
SOHU,2977
ASEA,2950
CHIQ,15747
EWBC,8836
ABCO,2047
TRLA,27602
EFLVF,1000
VLO,244324
ARFXF,12000
SOIL,7776
VLP,8215
ABCE,100
VLU,1
ABCB,256
CHIE,400
VLT,3763
WBCO,416
CHKE,20
QQQX,9548
PNNT,58356
VLY,51643
MEET,4314
FIBG,1400
HFWA,822
ASFI,379
FIBK,997
VMC,22723
JUNR,600
MJGCF,6000
CYLC,97743
VMI,6898
GLER,137528
VMM,1637
VMO,8301
ELB,1
ELD,15862
VMW,118330
RLGT,3682
WSFS,389
ELJ,2025
CHLC,70
UUPT,100
TRMR,58828
XVIX,200
ASGN,7784
KFN.PR,100
ELP,40631
PNRA,1434
RLGY,1368835
TALK,2500
ENRT,30000
HENOY,650
ABEV,260451
ELS,34335
TSYHY,52
AIDIF,3299
ELX,7472
UDOW,38980
PFBC,3291
NYMX,2000
ELY,21968
FIEU,200
CHKR,7673
VNM,5951
CHKP,70483
SDSDF,1550
VNO,27339
PNRG,4
NYMT,22318
WSGI,28600
NHLD,3500
VNQ,530104
PFBI,400
TRNO,409
EMC,523250
ASFX,1652
EMB,68391
MEIP,1470
VNR,7273
EME,5157
EMD,8956
ENSG,1970
MMYT,4225
EMF,23227
MEIL,400
CHMG,12
CCOZY,273
ASHR,25617
ABGB,18
EMJ,100
DUETF,1000
EML,200
EMO,10998
SFXE,14564
EMN,54996
PSGTY,100
NYLD,6825
CYNO,447
VOD,352596
EMR,51185
VOC,3332
VOE,10124
UTX.PR.A,9
CYNI,34588
ABFS,6385
JPM.WS,2100
EMZ,280
PNQI,4603
TRMB,26879
FIDU,33756
FCNCA,353
EFAV,8620
MVIS,8551
VOO,65712
ENB,44514
VOT,4654
END,2643
TRMK,2557
WFC.PR.R,35200
IALS,68
VOX,11113
ENH,8079
VPCOD,4405
ENG,1275
GTXI,11698
TROX,6861
IWDMD,3000
WFC.PR.N,6200
TROW,57466
ENI,13074
WFC.PR.O,1102
PWEB,1000
TROV,437
ENL,1368
WFC.PR.P,2538
WFC.PR.Q,6148
CYOU,28
ABHD,29951
WFC.PR.J,5326
SOLS,700
WFC.PR.L,132
CHNA,100
ENTR,12107
ENR,12123
VXUS,8948
TANN,601
ENT,2258
ENS,5531
VPG,1083
ENV,3765
HOMS,40
ENX,3226
VPER,1831101
ENY,718
RTOKY,900
VPFG,1513
VPL,63715
CHMT,34691
ASIA,7230
FIGY,882
KUBTY,1124
CCGGY,11
EOC,1240
PNTR,4662
VPU,11244
EOD,78946
EOG,78501
VPV,13408
EOI,17823
CHMI,1100
JMBA,1846
MKRYF,900
CYPW,124800
ENSL,200
IROG,200
UMAM,2250
TRNS,331
HOLI,3071
CHOC,264
TAMO,5500
EOS,8187
UMAX,1000
IROQ,1
EOT,4581
ENSV,2227
WSGP,2600
VGSH,2594
EOX,2994
TRNX,943
NAD,3896
ABR.PR.A,100
NAC,5563
HOLX,46302
NYNY,760
CHEUY,127
EPB,2269
ENTA,1300
CHNR,9968
EPD,82147
VQT,147
NAK,6433
SAN.PR.E,238
NAN,6900
EWEM,46
KELYA,10610
UMBF,1455
SAN.PR.C,201
ENTG,5591
HOMB,26449
HOME,62
EPI,371197
NAT,155745
EPL,13672
QIHU,86430
NAV,9321
EPM,52
VRA,14455
EPP,20475
EPR,7127
NAZ,3980
YHOO,413120
LBIX,10000
BF.B,11038
SONS,13256
BF.A,650
EPS,460
MVNR,22
EPV,13050
EPU,4319
KBCSY,82
OKSB,7
NBB,718
NBD,271
NBG,191252
KMTUY,1338
NBH,18569
VRS,5
VPHM,38843
NBL,95400
DNZOY,105
CHOP,100
ABIO,9500
NBO,102
VRX,820980
EWHS,50
NBS,10798
ORSUF,23000
MEMP,48643
