stock,volume
BMS,23053
BMY,276081
NVLX,34630
SOL,141144
ECAU,2000
SON,7786
BNA,13129
SOQ,72
ABMLF,2100
SOR,2269
APHB,1003
ALAWP,136
BND,124114
RIGL,39823
KMDA,1800
DIPGY,184
RIGH,100000
C.WS.B,51150
BNJ,300
C.WS.A,4300
BNO,1750
SPB,641
LDSVF,1
SPA,416
BNS,46907
MSLI,1395
KHDHF,45
SPF,95853
PTEN,18331
SPE,300
SPH,3074
NENE,5660
SPG,71164
BNY,4970
ETFC,108447
KMKGF,2550
MSLP,2000
DYSL,1610
CVOL,60
SPN,36956
SPR,3644
LEVYU,100
BBT.PR.G,1199
BOE,15590
BBT.PR.F,2649
TOPS,720
SPU,2080
BOH,3078
ALP.PR.P,570
CEMP,1263
APEMY,51
SPW,6602
ALP.PR.O,40
ALP.PR.N,816
SPY,5190852
BOI,530
BBT.PR.E,3681
BBT.PR.D,1822
IRET.PR,1
SVNLY,38
GIII,20465
BSMX,10708
BOS,20
SQI,127
NVCIF,500
VDSI,130
SQM,34666
KAI,575
CENX,11845
SHECY,1100
ETEK,148000
PCCC,5552
VMEM,6713
URRE,1881
YELP,100894
APELY,1000
BPI,2317
BPK,1453
MITT.PR.A,1
KAR,104258
VSTOW,1
BPL,4893
BPO,52310
CNAT,206
BPS,100
SRC,55304
MBLX,250
FFIN,1884
URTY,34831
SLNX,250000
SRF,3241
SRE,22607
BPT,2470
PNHNF,21255
NNAN,10000
BPY,7974
SRI,11266
GILT,1684
BPZ,786
FFIV,34918
KBE,118402
KBH,105824
GVDNY,336
TORM,200
PCFG,775508
MRETF,6705
SRS,6973
BBLU,10
SRV,100
BQH,3
KBR,79093
LPLA,1038
AGYS,122
BBNK,462
BQR,500
LCPRF,1000
FFHL,400
SSD,1561
SSG,1000
SSI,11086
SSH,3113
BQY,500
NEOG,765
KCE,66296
XSLV,195
CVRR,11327
SSL,8793
SSO,358586
KCG,3126
SSN,5173
PCEF,12151
SSP,2183
JASO,38964
NEOM,269142
BRC,11135
SSS,906
NEON,15139
CNBC,2222
APEOF,250
BRE,41388
BRD,9014
SSW,5798
URTH,7036
BRF,30831
TLSYY,3739
FFIC,6345
GILD,474767
BRO,18506
SLNN,200
STB,11179
BRP,12259
CERN,35384
BRS,2446
STC,1307
ECHO,4964
BRT,101
STE,5499
NVSL,300
PTIE,30340
VUZI,14460
STJ,136480
CNCO,300
STI,117979
BRX,10404
FFKT,221
STL,1076
CERE,6000
STK,5412
SUBK,326
STN,4024
STM,101827
STO,20211
STR,5930
BSPM,700
STT,41839
BSD,4192
STS,146
STV,2000
BSE,350
STX,98875
RING,5145
PTIX,4993
BGMZF,2000
STZ,33205
SGSOY,4969
BSL,1113
ECIG,48
CVSC,1850
CNBZ,300
BSP,693
CEQP,4614
PSA.PR.X,1000
SUB,431
MSON,398
IOSP,2783
GTOMY,400
BSV,80289
PSA.PR.T,1
GIMO,1084
PSA.PR.U,118
SUI,5061
BSX,739951
PSA.PR.V,401
PSA.PR.W,566
PSA.PR.P,113
PSA.PR.Q,836
LRLCY,1118
CNDO,54103
PSA.PR.R,600
KED,238
PSA.PR.S,103
GIMU,50000
APNT,12000
XSNX,10000
KEG,112829
BTA,13293
INRLF,6
SUP,2532
HUBG,1910
TAKUF,20700
BTE,5512
KEM,502
BTG,139062
NNBR,12905
BTF,1
BTI,7737
BBOX,2915
BTH,7424
KEP,5964
CNDA,420
FWLT,12967
PKWY,3000
AIQUY,1629
BTO,1100
CERS,26776
KEY,289483
KEX,12829
CERP,30000
YNDX,92582
KPCPY,910
BTU,342943
NETC,126
BTT,3935
JAXB,100
HLSS,1142
TXGE,14100
BTX,12681
CNER,2400
BTZ,4284
WPNV,1000
TTSLF,1601
SVM,59870
KFH,139
NETE,4
BSRR,10
TOVC,100
KFI,100
BUD,173841
ARCAY,92
MKBY,10000
GRBG,30
KFN,76334
APOL,77399
SVU,123435
GRT.PR.I,1
OBTLY,125
BUI,2894
KFS,100
APOG,282
IRET.PR.B,2
EXMRF,100
KFX,600
PTLA,412
BSRC,85
SWC,89477
KFY,6318
XBOR,73
SWI,13977
NVTL,3133
KGC,1207790
SWK,14124
APPY,2288
SWJ,10370
APPZ,5350
KOZAY,519
SWM,8087
LPNT,1117
NESI,200
BBRG,49
SWN,44762
SLRC,2484
XSPY,4900
BBRC,1492
SWS,1604
SLRA,31
RIOM,10890
SWY,115329
YESD,4000
SWX,3833
BKCC,10748
DRAGF,500
BVN,120375
CETV,53715
GRAS,200000
APPA,33985
SXC,15870
MSTR,1117
BVX,650
SXI,138
SXL,18328
BBSI,1239
BWA,18323
KHI,5732
SXT,12035
MSTX,92929
CEVE,70
BWC,28920
PCLN,102567
CEVA,413
BWG,12726
JAZZ,16378
BBRY,3293073
BWP,17592
SYA,1929
ALIZF,94
QFOR,3972
BSTC,1303
BWS,62402
BWV,22700
TYG.PR.B,1003
BWX,49277
APSA,440
BWZ,6411
SYK,39685
KIE,18554
CHSCO,2
CHSCP,219
SYN,17252
FFNW,244
BKEP,159
BXC,1501
MBRG,14
KIM,30707
BXE,100
SYT,14202
SLTD,30600
KIO,301
KIN,16880
TOWR,4069
SVNTQ,380
SYY,1536755
TGGI,485000
SYX,535
CNHI,20076
SLTM,99120
TOWN,432
APRI,19234
GABC,4
BXP,30722
BXS,13697
SZC,1268
ECNS,433
LHCG,13
KMPR,291
SZO,590
CNIT,1900
GCVRZ,377873
BYD,34639
RITE,37500
AZSEY,1503
ECOB,1866675
BYI,11154
JTEKY,8
BYM,10799
MSWM,2555
GRFS,12347
ECOL,2867
LPTH,600
ECOM,7731
ECON,14693
LPTN,300
FWRD,217
MBTF,1462
KKD,33721
PTAXF,2764
GACR,19850
NEWL,21815
PCMI,563
CCLAY,9
PTNR,399
BZF,8522
PTNT,100
XBTC,600
NEWT,4500
LPSB,300
GREK,26602
APTS,5900
BZH,48861
HKXCY,911
KKR,247513
WPRT,22519
BZM,3
BBVA,200634
SLVO,1500
NEWP,2098
SLVP,772
NEWS,646
BZQ,21359
APTL,1
PTOG,5000
HDGE,4698
LPSN,8282
BZT,100
SLYG,6018
KLD,61
TOLWF,1500
TC.PR.T,1200
ETRM,217086
MBWM,304
TGLP,300
SLYV,5084
PTRC,61000
BTKGF,660
GAGA,399
PLBC,17
SDIV,14563
SDIR,3557
KMB,24520
ECOS,1480100
BLLAF,33598
MBVA,13
KMG,109
KMF,5495
KMI,217959
KMM,10607
KMP,29651
GIVE,2
KMR,5535
KMT,6921
PCOM,30
IGLD,500
ECPG,2058
MBVT,2006
KMX,25150
SLXP,6140
PLAB,3436
GIVN,27396
TXMD,12651
RRGB,1348
ELAY,8563079
KND,2433
ALL.PR.C,431
ALL.PR.D,9200
PLCM,4420
ABW.PR.B,182
BDN.PR.E,55
ALL.PR.A,227
ALL.PR.B,1179
KNL,972
PTSX,1917
AHGP,697
VEDO,46517
GAIA,1300
KNX,9117
UBP.PR.F,600
TNABY,44
THYCY,600
PCRX,6301
SSEZY,5107
CNMD,2011
GAIN,15997
CNOB,99
KOG,385274
KOF,982
USAE,600
GRID,2
USAC,1800
NNLX,700
KOL,15303
GRIF,1
USAP,16
KOP,3853
KOS,62681
PTRY,5692
USAK,8330
PTSC,17500
VECO,3588
SCGLY,3787
USAT,8996
TAC,5968
VLPNY,13
ECRO,100000
PLCE,27687
DFT.PR.B,215
TAI,1475
TAL,26989
PTSI,951
TAN,23150
